,Chimborazo,Cotopaxi,Guayas,Imbabura,Loja,Pichincha,Acu-Chimborazo,Acu-Cotopaxi,Acu-Guayas,Acu-Imbabura,Acu-Loja,Acu-Pichincha,Acu-Pichincha1,Acu-Pichincha2
01/01/2020,0.80,0.66,21.54,3.33,2.33,6.68,0.80,0.66,21.54,3.33,2.33,6.68,0.80,4.659.661.905
02/01/2020,-1.20,-3.34,23.54,0.33,-0.67,-0.32,-0.40,-2.67,45.08,3.66,1.66,6.35,0.40,4.745.395.238
03/01/2020,1.80,-3.34,16.54,1.33,0.33,10.68,1.40,-6.01,61.63,4.99,0.33,17.03,1.80,4.741.128.571
04/01/2020,3.80,-3.34,2.54,1.33,-2.67,10.68,5.20,-9.34,64.17,6.32,-2.34,27.71,7.00,4.686.861.905
05/01/2020,2.80,0.66,13.54,1.33,2.33,1.68,8.00,-8.68,77.71,7.65,2.33,29.39,15.00,4.882.595.238
06/01/2020,-0.20,0.66,12.54,-1.67,6.33,0.68,7.80,-8.01,90.25,5.97,8.66,30.06,22.80,4.968.328.571
07/01/2020,-1.20,0.66,6.54,-0.67,-2.67,2.68,6.60,-7.35,96.79,5.30,-2.67,32.74,29.40,5.054.061.905
08/01/2020,1.80,-1.34,16.54,-5.67,-0.67,-5.32,8.40,-8.68,113.34,-0.37,-3.34,27.42,37.80,5.029.795.238
09/01/2020,3.80,-1.34,10.54,1.33,2.33,3.68,12.20,-10.02,123.88,0.96,2.33,31.10,50.00,5.205.528.571
10/01/2020,4.80,-4.34,3.54,-3.67,6.33,0.68,17.00,-14.35,127.42,-2.71,8.66,31.77,67.00,5.281.261.905
11/01/2020,1.80,-0.34,-2.46,1.33,-3.67,4.68,18.80,-14.69,124.96,-1.38,-3.67,36.45,85.80,5.386.995.238
12/01/2020,1.80,-2.34,6.54,2.33,2.33,11.68,20.60,-17.03,131.50,0.95,-1.34,48.13,106.40,5.502.728.571
13/01/2020,-0.20,-4.34,30.54,2.33,1.33,-0.32,20.40,-21.36,162.05,3.28,1.33,47.81,126.80,5.668.461.905
14/01/2020,-0.20,2.66,3.54,0.33,2.33,1.68,20.20,-18.70,165.59,3.61,3.66,49.48,147.00,5.794.195.238
15/01/2020,0.80,1.66,-9.46,2.33,0.33,10.68,21.00,-17.03,156.13,5.94,0.33,60.16,168.00,5.899.928.571
16/01/2020,-0.20,-2.34,-2.46,2.33,-1.67,-8.32,20.80,-19.37,153.67,8.26,-1.34,51.84,188.80,6.000.960.829
17/01/2020,-3.20,1.66,8.54,-1.67,-1.67,8.68,17.60,-17.70,162.21,6.59,-1.67,60.52,206.40,6.081.993.088
18/01/2020,-1.20,-0.34,1.54,0.33,0.33,10.68,16.40,-18.04,163.75,6.92,-1.34,71.19,222.80,6.273.025.346
19/01/2020,4.80,4.66,30.54,0.33,-1.67,-10.32,21.20,-13.37,194.30,7.25,-1.67,60.87,244.00,6.404.057.604
20/01/2020,2.80,-1.34,20.54,-0.67,0.33,6.68,24.00,-14.71,214.84,6.58,-1.34,67.55,268.00,6.635.089.862
21/01/2020,5.80,-3.34,0.54,-1.67,0.33,6.68,29.80,-18.05,215.38,4.91,0.33,74.23,297.80,688.612.212
22/01/2020,-3.20,-3.34,-0.46,2.33,1.33,-5.32,26.60,-21.38,214.92,7.24,1.66,68.90,324.40,6.997.154.378
23/01/2020,-4.20,-0.34,3.54,1.33,-0.67,-14.32,22.40,-21.72,218.46,8.57,-0.67,54.58,346.80,7.048.186.636
24/01/2020,0.80,1.66,-9.46,2.33,-3.67,6.68,23.20,-20.05,209.01,10.90,-4.34,61.26,370.00,7.169.218.894
25/01/2020,0.80,-1.34,20.54,-0.67,-3.67,5.68,24.00,-21.39,229.55,10.23,-3.67,66.94,394.00,7.300.251.152
26/01/2020,2.80,-2.34,5.54,-1.67,-2.67,6.68,26.80,-23.72,235.09,8.55,-6.34,73.61,420.80,747.128.341
27/01/2020,-0.20,-2.34,1.54,1.33,5.33,0.68,26.60,-26.06,236.63,9.88,5.33,74.29,447.40,7.542.315.668
28/01/2020,-2.20,3.66,-4.46,2.33,-3.67,3.68,24.40,-22.39,232.17,12.21,1.66,77.97,471.80,7.773.347.926
29/01/2020,-4.20,-3.34,-5.46,-2.67,2.33,2.68,20.20,-25.73,226.72,9.54,2.33,80.65,492.00,7.794.380.184
30/01/2020,4.80,2.66,-4.46,-0.67,1.33,-4.32,25.00,-23.06,222.26,8.87,3.66,76.32,517.00,7.985.412.442
31/01/2020,-0.20,-4.34,-8.46,0.33,2.33,8.68,24.80,-27.40,213.80,9.20,2.33,85.00,541.80,80.964.447
01/02/2020,-3.96,2.36,-5.52,1.48,-3.00,-1.41,20.84,-25.04,208.28,10.68,-0.67,83.59,562.64,8.347.476.959
02/02/2020,0.04,-0.64,-3.52,0.48,1.00,-0.41,20.89,-25.69,204.76,11.16,1.00,83.19,583.53,8.428.509.217
03/02/2020,02.04,2.36,-5.52,-1.52,-1.00,9.59,22.93,-23.33,199.24,9.64,0.00,92.78,606.46,8.639.541.475
04/02/2020,0.04,-0.64,6.48,3.48,-1.00,-10.41,22.97,-23.97,205.71,13.11,-1.00,82.37,629.43,8.880.573.733
05/02/2020,01.04,3.36,-16.52,-0.52,-3.00,7.59,24.01,-20.61,189.19,12.59,-4.00,89.96,653.44,9.101.605.991
06/02/2020,-1.96,3.36,4.48,2.48,-4.00,0.59,22.06,-17.26,193.67,15.07,-4.00,90.56,675.50,9.232.638.249
07/02/2020,0.04,3.36,-10.52,-0.52,-2.00,7.59,22.10,-13.90,183.15,14.55,-6.00,98.15,697.60,9.503.670.507
08/02/2020,0.04,2.36,5.48,-1.52,-1.00,-1.41,22.14,-11.54,188.63,13.03,-1.00,96.74,719.74,9.754.702.765
09/02/2020,0.04,-2.64,8.48,-0.52,-2.00,10.59,22.19,-14.19,197.11,12.51,-3.00,107.34,741.93,9.945.735.023
10/02/2020,-0.96,0.36,5.48,0.48,4.00,-2.41,21.23,-13.83,202.59,12.99,4.00,104.93,763.16,1.012.676.728
11/02/2020,-0.96,-1.64,4.48,-0.52,1.00,11.59,20.27,-15.47,207.06,12.46,5.00,116.52,783.43,1.032.779.954
12/02/2020,-4.96,-1.64,12.48,1.48,1.00,0.59,15.31,-17.11,219.54,13.94,1.00,117.11,798.74,105.988.318
13/02/2020,0.04,1.36,-2.52,-1.52,-3.00,5.59,15.36,-15.76,217.02,12.42,-2.00,122.71,814.10,1.093.986.406
14/02/2020,-2.96,1.36,8.48,-1.52,-2.00,18.59,12.40,-14.40,225.50,10.90,-2.00,141.30,826.50,1.121.089.631
15/02/2020,0.04,3.36,-6.52,0.48,-1.00,7.59,12.44,-11.04,218.98,11.38,-3.00,148.89,838.94,1.129.192.857
16/02/2020,01.04,1.36,10.48,-0.52,-4.00,18.59,13.49,-9.69,229.46,10.86,-4.00,167.49,852.43,1.157.112.857
17/02/2020,-2.96,-2.64,-9.52,-0.52,-2.00,7.59,10.53,-12.33,219.94,10.34,-6.00,175.08,862.96,1.185.032.857
18/02/2020,-1.96,1.36,2.48,5.48,-2.00,3.59,8.57,-10.97,222.41,15.81,-2.00,178.67,871.53,1.203.952.857
19/02/2020,-2.96,-0.64,13.48,-2.52,-4.00,-1.41,5.61,-11.61,235.89,13.29,-6.00,177.26,877.14,1.223.872.857
20/02/2020,0.04,1.36,-5.52,-1.52,0.00,3.59,5.66,-10.26,230.37,11.77,0.00,180.86,882.80,1.238.792.857
21/02/2020,0.04,-0.64,-5.52,-3.52,-4.00,3.59,5.70,-10.90,224.85,8.25,-4.00,184.45,888.50,1.247.712.857
22/02/2020,02.04,-3.64,13.48,1.48,-4.00,11.59,7.74,-14.54,238.33,9.73,-4.00,196.04,896.24,1.267.632.857
23/02/2020,02.04,2.36,-2.52,-0.52,4.00,5.59,9.79,-12.19,235.81,9.21,0.00,201.64,906.03,1.295.552.857
24/02/2020,0.04,-2.64,0.48,-1.52,-1.00,3.59,9.83,-14.83,236.29,7.69,-1.00,205.23,915.86,1.317.472.857
25/02/2020,-1.96,5.36,-6.52,1.48,0.00,5.59,7.87,-9.47,229.76,9.16,-1.00,210.82,923.73,1.335.392.857
26/02/2020,-1.96,2.36,20.48,0.48,2.00,-2.41,5.91,-7.11,250.24,9.64,2.00,208.41,929.64,1.365.312.857
27/02/2020,01.04,0.36,3.48,-2.52,0.00,-0.41,6.96,-6.76,253.72,7.12,2.00,208.01,936.60,1.392.232.857
28/02/2020,04.04,0.36,-6.52,-2.52,0.00,7.59,11.00,-6.40,247.20,4.60,0.00,215.60,947.60,1.419.152.857
29/02/2020,-0.96,0.36,17.48,-0.52,-2.00,16.59,10.04,-6.04,264.68,04.08,-2.00,232.19,957.64,1.442.072.857
01/03/2020,-1.54,7.26,0.28,-2.33,-3.35,0.73,8.50,1.22,264.96,1.75,-3.35,232.92,966.14,1.468.992.857
02/03/2020,-1.54,-1.74,0.28,-1.33,1.65,4.73,6.96,-0.53,265.23,0.43,-1.70,237.65,973.10,1.488.912.857
03/03/2020,-1.54,3.26,6.28,-1.33,0.65,-7.27,5.42,2.73,271.51,-0.90,0.65,230.38,978.52,1.510.832.857
04/03/2020,7.46,-1.74,12.28,-1.33,-2.35,-2.27,12.88,0.99,283.79,-2.23,-1.70,228.11,991.39,1.548.752.857
05/03/2020,0.46,-2.74,5.28,-1.33,0.65,4.73,13.33,-1.75,289.07,-3.55,0.65,232.84,1004.73,1.571.672.857
06/03/2020,1.46,1.26,13.28,-4.33,-4.35,7.73,14.79,-0.49,302.34,-7.88,-3.70,240.57,1019.52,1.616.592.857
07/03/2020,3.46,1.26,0.28,1.67,3.65,-5.27,18.25,0.76,302.62,-6.21,3.65,235.30,1037.77,1.633.512.857
08/03/2020,-0.54,1.26,-6.72,-3.33,1.65,9.73,17.71,02.02,295.90,-9.53,5.30,245.03,1055.48,1.674.432.857
09/03/2020,0.46,1.26,7.28,0.67,-0.35,4.73,18.17,3.28,303.18,-8.86,-0.35,249.75,1073.64,1.709.352.857
10/03/2020,1.46,2.26,1.28,3.67,3.65,5.73,19.62,5.54,304.45,-5.19,3.30,255.48,1093.26,1.746.272.857
11/03/2020,6.46,1.26,-9.72,-0.33,-0.35,10.73,26.08,6.80,294.73,-5.51,-0.35,266.21,1119.35,1.759.192.857
12/03/2020,-0.54,2.26,2.28,-1.33,-4.35,7.73,25.54,09.05,297.01,-6.84,-4.70,273.94,1144.89,1.809.112.857
13/03/2020,-0.54,0.26,9.28,-0.33,4.65,-10.27,25.00,9.31,306.29,-7.17,4.65,263.67,1169.88,1.852.032.857
14/03/2020,-2.54,0.26,1.28,-1.33,-3.35,-1.27,22.46,9.57,307.56,-8.49,1.30,262.40,1192.34,1.899.952.857
15/03/2020,5.46,5.26,2.28,-1.33,-2.35,3.73,27.91,14.83,309.84,-9.82,-2.35,266.13,1220.25,1.928.872.857
16/03/2020,-3.54,-2.74,-5.72,-1.33,1.65,3.73,24.37,12.09,304.12,-11.15,-0.70,269.86,1244.63,1.967.792.857
17/03/2020,-5.54,2.26,-5.72,-2.33,1.65,-2.27,18.83,14.34,298.39,-13.47,1.65,267.59,1263.46,2.005.438.018
18/03/2020,1.46,0.26,17.28,-3.33,0.65,6.73,20.29,14.60,315.67,-16.80,2.30,274.32,1283.74,204.508.318
19/03/2020,0.46,-1.74,4.28,0.67,-3.35,-7.27,20.75,12.86,319.95,-16.13,-3.35,267.04,1304.49,2.089.728.341
20/03/2020,-0.54,-0.74,48.28,-0.33,-3.35,-6.27,20.20,12.12,368.23,-16.45,-6.70,260.77,1324.69,2.152.373.502
21/03/2020,-2.54,4.26,42.28,0.67,1.65,-6.27,17.66,16.38,410.50,-15.78,1.65,254.50,1342.36,2.201.018.664
22/03/2020,-2.54,-2.74,64.28,-1.33,-0.35,6.73,15.12,13.63,474.78,-17.11,1.30,261.23,1357.48,2.241.663.825
23/03/2020,-0.54,-1.74,87.28,-0.33,1.65,-3.27,14.58,11.89,562.06,-17.43,1.65,257.96,1372.05,2.298.308.986
24/03/2020,-0.54,-0.74,157.28,-2.33,-0.35,2.73,14.04,11.15,719.34,-19.76,1.30,260.69,1386.09,2.365.954.147
25/03/2020,-0.54,-1.74,212.28,-2.33,2.65,4.73,13.49,9.41,931.61,-22.09,2.65,265.42,1399.59,2.416.599.309
26/03/2020,-1.54,0.26,284.28,2.67,-3.35,3.73,11.95,9.67,1215.89,-19.41,-0.70,269.15,1411.54,248.324.447
27/03/2020,2.46,1.26,367.28,2.67,-1.35,7.73,14.41,10.92,1583.17,-16.74,-1.35,276.88,1425.95,2.542.889.631
28/03/2020,3.46,0.26,476.28,3.67,-1.35,20.73,17.87,11.18,2059.45,-13.07,-2.70,297.61,1443.82,2.601.534.793
29/03/2020,6.46,1.26,513.28,-0.33,1.65,8.73,24.33,12.44,2572.72,-13.39,1.65,306.33,1468.14,2.667.179.954
30/03/2020,7.46,-1.74,595.28,-3.33,-2.35,12.73,31.78,10.70,3168.00,-16.72,-0.70,319.06,1499.93,2.724.825.115
31/03/2020,2.46,0.26,632.28,-1.33,-2.35,5.73,34.24,10.96,3800.28,-18.05,-2.35,324.79,1534.17,2.796.470.276
01/04/2020,-1.47,-1.98,753.18,0.67,-1.16,17.57,32.77,8.98,4553.46,-17.37,-3.51,342.37,1566.94,2.835.115.438
02/04/2020,10.53,06.02,713.18,-1.33,-3.16,14.57,43.30,15.00,5266.64,-18.70,-3.16,356.94,1610.24,2.904.760.599
03/04/2020,3.53,-1.98,744.18,0.67,0.84,9.57,46.82,13.02,6010.82,-18.03,-2.32,366.51,1657.06,297.140.576
04/04/2020,5.53,-0.98,795.18,5.67,1.84,2.57,52.35,12.04,6806.00,-12.35,1.84,369.09,1709.41,3.035.050.922
05/04/2020,12.53,01.02,697.18,-0.33,2.84,-1.43,64.88,13.06,7503.18,-12.68,4.68,367.66,1774.29,3.108.696.083
06/04/2020,8.53,-0.98,617.18,0.67,1.84,12.57,73.40,12.08,8120.36,-12.01,1.84,380.23,1847.69,3.169.341.244
07/04/2020,10.53,-0.98,631.18,-2.33,2.84,8.57,83.93,11.10,8751.54,-14.33,4.68,388.81,1931.62,3.237.986.406
08/04/2020,10.53,-2.98,586.18,0.67,-2.16,4.57,94.46,8.12,9337.72,-13.66,-2.16,393.38,2026.07,3.299.631.567
09/04/2020,6.53,04.02,556.18,1.67,3.84,6.57,100.98,12.14,9893.90,-11.99,1.68,399.95,2127.06,3.360.276.728
10/04/2020,10.53,05.02,506.18,1.67,-2.16,7.57,111.51,17.16,10400.08,-10.31,-2.16,407.53,2238.57,3.421.921.889
11/04/2020,1.53,02.02,473.18,5.67,3.84,2.57,113.04,19.18,10873.26,-4.64,1.68,410.10,2351.60,3.485.567.051
12/04/2020,5.53,-0.98,437.18,-3.33,-0.16,17.57,118.56,18.20,11310.44,-7.97,-0.16,427.67,2470.17,3.558.212.212
13/04/2020,-0.47,02.02,402.18,1.67,-2.16,8.57,118.09,20.22,11712.62,-6.29,-2.32,436.25,2588.26,3.619.857.373
14/04/2020,0.53,0.02,343.18,-2.33,-0.16,5.57,118.62,20.24,12055.80,-8.62,-0.16,441.82,2706.87,3.672.502.535
15/04/2020,6.53,-0.98,307.18,1.67,-0.16,14.57,125.14,19.26,12362.98,-6.95,-0.32,456.39,2832.01,3.733.147.696
16/04/2020,5.53,01.02,253.18,0.67,-2.16,9.57,130.67,20.28,12616.16,-6.27,-2.16,465.97,,3.803.792.857
17/04/2020,7.53,02.02,241.18,-0.33,-1.16,8.57,138.20,22.30,12857.34,-6.60,-3.32,474.54,,3.868.638.018
18/04/2020,3.53,02.02,184.18,-0.33,-2.16,-0.43,141.72,24.32,13041.52,-6.93,-2.16,474.11,,392.548.318
19/04/2020,1.53,03.02,216.18,0.67,4.84,-5.43,143.25,27.34,13257.70,-6.25,2.68,468.69,,3.990.328.341
20/04/2020,2.53,0.02,207.18,-1.33,4.84,19.57,145.78,27.36,13464.88,-7.58,4.84,488.26,,4.056.173.502
21/04/2020,7.53,01.02,157.18,3.67,-4.16,8.57,153.30,28.38,13622.06,-3.91,0.68,496.83,,4.124.018.664
22/04/2020,4.53,04.02,148.18,0.67,2.84,8.57,157.83,32.40,13770.24,-3.23,2.84,505.41,,4.185.863.825
23/04/2020,3.53,-2.98,129.18,-1.33,-0.16,-2.43,161.36,29.42,13899.42,-4.56,2.68,502.98,,4.248.708.986
24/04/2020,7.53,0.02,114.18,-1.33,2.84,17.57,168.88,29.44,14013.60,-5.89,2.84,520.55,,4.303.554.147
25/04/2020,7.53,-0.98,127.18,-3.33,-1.16,7.57,176.41,28.46,14140.78,-9.21,1.68,528.13,,4.367.399.309
26/04/2020,2.53,01.02,106.18,-0.33,2.84,10.57,178.94,29.48,14246.96,-9.54,2.84,538.70,,441.124.447
27/04/2020,4.53,0.02,108.18,3.67,-1.16,11.57,183.46,29.50,14355.14,-5.87,1.68,550.27,,4.462.089.631
28/04/2020,7.53,07.02,85.18,1.67,-4.16,16.57,190.99,36.52,14440.32,-4.19,-4.16,566.85,,4.529.934.793
29/04/2020,10.53,01.02,84.18,1.67,-1.16,12.57,201.52,37.54,14524.50,-2.52,-5.32,579.42,,4.581.779.954
30/04/2020,1.53,06.02,70.18,3.67,1.84,10.57,203.04,43.56,14594.68,1.15,1.84,589.99,,4.621.625.115
01/05/2020,0.68,2.94,67.03,-0.26,0.69,10.10,203.72,46.49,14661.70,0.89,2.53,600.10,,4.684.470.276
02/05/2020,5.68,0.94,63.03,-1.26,0.69,8.10,209.40,47.43,14724.73,-0.38,0.69,608.20,,4.715.315.438
03/05/2020,2.68,4.94,61.03,-0.26,-0.31,19.10,212.08,52.36,14785.76,-0.64,0.38,627.30,,4.747.160.599
04/05/2020,4.68,-1.06,71.03,-1.26,-2.31,13.10,216.75,51.30,14856.78,-1.91,-2.31,640.41,,478.300.576
05/05/2020,3.68,-2.06,45.03,-4.26,5.69,23.10,220.43,49.23,14901.81,-6.17,3.38,663.51,,4.827.850.922
06/05/2020,4.68,-0.06,57.03,-2.26,4.69,25.10,225.11,49.17,14958.83,-8.44,4.69,688.61,,4.857.696.083
07/05/2020,5.68,2.94,44.03,0.74,-0.31,11.10,230.78,52.11,15002.86,-7.70,4.38,699.72,,4.896.541.244
08/05/2020,8.68,4.94,44.03,-0.26,1.69,5.10,239.46,57.04,15046.89,-7.96,1.69,704.82,,4.935.386.406
09/05/2020,-3.32,-1.06,45.03,4.74,0.69,12.10,236.14,55.98,15091.91,-3.23,2.38,716.92,,4.978.231.567
10/05/2020,0.68,1.94,42.03,1.74,3.69,13.10,236.82,57.91,15133.94,-1.49,3.69,730.03,,5.024.076.728
11/05/2020,2.68,-4.06,50.03,3.74,0.69,17.10,239.49,53.85,15183.96,2.24,4.38,747.13,,5.065.921.889
12/05/2020,5.68,3.94,36.03,0.74,1.69,7.10,245.17,57.78,15219.99,2.98,1.69,754.23,,5.081.767.051
13/05/2020,3.68,0.94,29.03,3.74,2.69,23.10,248.85,58.72,15249.01,6.71,4.38,777.33,,5.107.612.212
14/05/2020,-0.32,-1.06,04.03,-0.26,1.69,2.10,248.53,57.65,15253.04,6.45,1.69,779.44,,5.148.457.373
15/05/2020,3.68,0.94,20.03,0.74,0.69,19.10,252.20,58.59,15273.07,7.18,2.38,798.54,,5.180.302.535
16/05/2020,4.68,1.94,21.03,1.74,-3.31,11.10,256.88,60.52,15294.09,8.92,-3.31,809.64,,5.207.147.696
17/05/2020,6.68,1.94,17.03,-1.26,0.69,25.10,263.56,62.46,15311.12,7.66,-2.62,834.75,,5.232.992.857
18/05/2020,6.68,2.94,19.03,0.74,1.69,8.10,270.24,65.40,15330.14,8.39,1.69,842.85,,5.257.872.857
19/05/2020,1.68,-1.06,20.03,0.74,1.69,21.10,271.91,64.33,15350.17,9.13,3.38,863.95,,5.300.752.857
20/05/2020,2.68,2.94,17.03,-2.26,1.69,24.10,274.59,67.27,15367.19,6.86,1.69,888.06,,5.343.632.857
21/05/2020,1.68,-0.06,11.03,5.74,0.69,22.10,276.27,67.20,15378.22,12.60,2.38,910.16,,5.363.512.857
22/05/2020,-2.32,1.94,32.03,-0.26,3.69,13.10,273.95,69.14,15410.25,12.33,3.69,923.26,,5.392.392.857
23/05/2020,-3.32,5.94,0.03,1.74,-0.31,27.10,270.62,75.07,15410.27,14.07,3.38,950.37,,5.425.272.857
24/05/2020,10.68,-1.06,01.03,5.74,-0.31,25.10,281.30,74.01,15411.30,19.80,-0.31,975.47,,5.453.152.857
25/05/2020,4.68,0.94,16.03,-1.26,1.69,19.10,285.98,74.94,15427.32,18.54,1.38,994.57,,5.482.032.857
26/05/2020,2.68,5.94,20.03,0.74,1.69,18.10,288.66,80.88,15447.35,19.27,1.69,1012.68,,5.522.912.857
27/05/2020,3.68,2.94,-0.97,-2.26,-1.31,20.10,292.33,83.82,15446.38,17.01,0.38,1032.78,,5.545.792.857
28/05/2020,4.68,-3.06,25.03,0.74,1.69,27.10,297.01,80.75,15471.40,17.75,1.69,1059.88,,5.569.672.857
29/05/2020,6.68,2.94,14.03,-1.26,-1.31,34.10,303.69,83.69,15485.43,16.48,0.38,1093.99,,5.591.552.857
30/05/2020,6.68,3.94,12.03,-0.26,0.69,27.10,310.37,87.62,15497.45,16.22,0.69,1121.09,,5.627.432.857
31/05/2020,-4.32,-1.06,05.03,-0.26,1.69,8.10,306.04,86.56,15502.48,15.95,2.38,1129.19,,5.685.312.857
01/06/2020,4.94,5.29,16.05,1.83,5.99,27.92,310.98,91.85,15518.53,17.79,5.99,1157.11,,5.704.192.857
02/06/2020,7.94,3.29,01.05,1.83,0.99,27.92,318.92,95.14,15519.59,19.62,6.99,1185.03,,5.727.072.857
03/06/2020,6.94,1.29,02.05,0.83,2.99,18.92,325.86,96.44,15521.64,20.45,2.99,1203.95,,5.751.952.857
04/06/2020,4.94,4.29,10.05,3.83,6.99,19.92,330.80,100.73,15531.69,24.29,9.99,1223.87,,5.788.832.857
05/06/2020,0.94,2.29,06.05,4.83,-0.01,14.92,331.74,103.02,15537.75,29.12,-0.01,1238.79,,5.807.712.857
06/06/2020,-0.06,8.29,08.05,7.83,1.99,8.92,331.68,111.32,15545.80,36.95,1.99,1247.71,,5.837.592.857
07/06/2020,5.94,4.29,22.05,-1.17,1.99,19.92,337.62,115.61,15567.85,35.79,1.99,1267.63,,5.863.472.857
08/06/2020,1.94,14.29,13.05,7.83,0.99,27.92,339.56,129.90,15580.91,43.62,2.99,1295.55,,5.882.352.857
09/06/2020,3.94,8.29,01.05,2.83,1.99,21.92,343.50,138.20,15581.96,46.45,1.99,1317.47,,5.911.232.857
10/06/2020,4.94,8.29,20.05,0.83,0.99,17.92,348.44,146.49,15602.01,47.29,2.99,1335.39,,5.923.112.857
11/06/2020,1.94,3.29,0.05,0.83,2.99,29.92,350.38,149.78,15602.07,48.12,2.99,1365.31,,5.936.992.857
12/06/2020,7.94,5.29,06.05,4.83,1.99,26.92,358.32,155.08,15608.12,52.95,4.99,1392.23,,5.962.872.857
13/06/2020,7.94,6.29,0.05,0.83,1.99,26.92,366.26,161.37,15608.17,53.79,1.99,1419.15,,5.982.752.857
14/06/2020,4.94,7.29,-2.95,0.83,-4.01,22.92,371.20,168.66,15605.23,54.62,-2.01,1442.07,,5.992.632.857
15/06/2020,6.94,5.29,04.05,3.83,4.99,26.92,378.14,173.96,15609.28,58.45,4.99,1468.99,,6.014.512.857
16/06/2020,0.94,4.29,03.05,2.83,6.99,19.92,379.08,178.25,15612.33,61.29,11.99,1488.91,,6.032.392.857
17/06/2020,0.94,3.29,07.05,2.83,-2.01,21.92,380.02,181.54,15619.39,64.12,-2.01,1510.83,,6.045.070.276
18/06/2020,-1.06,6.29,-3.95,3.83,4.99,37.92,378.96,187.84,15615.44,67.95,2.99,1548.75,,6.058.747.696
19/06/2020,9.94,2.29,04.05,4.83,3.99,22.92,388.90,190.13,15619.49,72.79,3.99,1571.67,,6.064.425.115
20/06/2020,3.94,11.29,14.05,2.83,4.99,44.92,392.84,201.42,15633.55,75.62,8.99,1616.59,,6.075.102.535
21/06/2020,4.94,2.29,09.05,7.83,1.99,16.92,397.78,203.72,15642.60,83.45,1.99,1633.51,,6.087.779.954
22/06/2020,9.94,1.29,04.05,-0.17,0.99,40.92,407.72,205.01,15646.65,83.29,2.99,1674.43,,6.103.457.373
23/06/2020,2.94,0.29,15.05,0.83,-1.01,34.92,410.66,205.30,15661.71,84.12,-1.01,1709.35,,6.113.134.793
24/06/2020,7.94,7.29,04.05,0.83,0.99,36.92,418.60,212.60,15665.76,84.95,-0.01,1746.27,,6.125.812.212
